Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
 437  2.00 0.11 2968  -1.19
 438  2.00 0.13 3078   0.77
 439  2.00 0.07 2855  -0.88
 445  2.00 0.01 2276   0.81
 448  0.90 0.01 2130  -0.68
 458  2.00 1.10 3870  -1.09
 459  2.00 0.90 3753  -2.01
 461  2.00 0.42 3371   1.32
 462  2.00 0.31 3292   0.87
 463  2.00 0.16 3138  -0.05
 464  2.00 0.16 3135   1.67
 465  2.00 0.10 2928  -0.58
 466  0.97 0.18 3174   3.91
 467  2.00 0.11 2951   0.13
 468  2.00 0.08 2868   0.18
 469  0.17 0.38 3344   9.82
 470  2.00 0.04 2757  -0.55
 471  0.96 0.04 2751   2.01
 472  0.30 0.07 2846   5.16
 473  0.85 0.02 2519   3.58
 474  0.87 0.01 2265   1.74
 476  0.84 0.01 2141  -0.38
 478  0.06 0.01 2378   5.88
 479  0.54 0.01 2197   2.00
 489  2.00 0.54 3457   0.59
 490  2.00 0.39 3347   1.14
 491  2.00 0.23 3226  -0.84
 492  2.00 0.22 3213   0.57
 493  2.00 0.35 3318   2.46
 494  2.00 0.16 3129   0.28
 495  2.00 0.18 3170   0.93
 496  2.00 0.14 3100   2.60
 534  2.00 0.78 3652   2.33
 535  2.00 0.23 3218  -1.97
 536  2.00 0.50 3423   2.18
 537  2.00 0.22 3210  -2.09
 538  2.00 0.27 3256  -0.51
 539  2.00 0.51 3433   2.93
 540  2.00 0.97 3788   7.81
 541  2.00 0.14 3090  -0.72
 542  2.00 0.16 3145   1.17
 543  2.00 0.12 3042   1.37
 544  0.52 0.21 3208   7.10
 545  2.00 0.10 2860   0.38
 546 -0.36 0.16 3136  10.29
 547  0.74 0.03 2600   2.77
 549  2.00 0.02 2410   0.80
 552 -0.18 0.04 2692   7.42
 553  0.83 0.01 2165  -0.13
 570  2.00 0.94 3772  -5.49
 571  2.00 0.94 3771   2.68
 572  2.00 0.40 3354   1.83
 573  2.00 0.11 3032  -4.03
 574  2.00 0.35 3318   0.63
 575  0.82 0.16 3132   4.64
 588  2.00 0.34 3308  -0.18
 589  2.00 0.10 2860  -3.51
 590  2.00 0.24 3232   2.57
 591  2.00 0.11 2968  -1.53
 592  0.88 0.31 3291   5.24
 593  0.64 0.16 3145   6.19
 594  2.00 0.09 2867   1.72
 595  0.90 0.08 2868   3.34
 597  0.67 0.04 2748   3.39
 633  2.00 0.12 3039   1.24
 634  2.00 0.06 2828   2.38
 640  0.38 0.00 1804  -3.65
 644  2.00 0.81 3674   2.58
 645  2.00 0.40 3354   1.31
 646 -0.32 0.12 3057   9.88
 656  2.00 0.52 3446  -5.43
 657  2.00 0.39 3350   0.00
 658  2.00 0.47 3407   4.04
 659  2.00 0.43 3375   4.82
 664 -0.34 0.06 2824   7.35
 672 -0.15 0.01 2073   3.68
 675  2.00 0.14 3085  29.96
 683  2.00 0.41 3364   2.34
 703  2.00 0.07 2841   1.55
 708  2.00 0.24 3232  -0.53
 713  2.00 0.51 3435   2.11
 714  2.00 0.43 3373   0.58
 715  2.00 0.05 2790  -1.19
 716  0.49 0.07 2841   5.35
 720  0.81 0.01 2051  -0.46
 721  0.33 0.01 2202   3.26
 724 -0.10 0.01 2097   2.62
 734  2.00 0.43 3378   1.32
 735  2.00 0.68 3572   6.31
 736  2.00 0.18 3173   2.03
 737 -0.32 0.29 3277  11.09
 742  2.00 0.52 3445   2.86
 744  0.97 0.02 2478   0.37
 753  2.00 0.29 3272  -0.94
 754  2.00 0.30 3277   3.28
 755  0.59 0.00 1759  -5.55
 758  2.00 0.39 3347 -10.75
 759  2.00 0.57 3481  -4.15
 760  2.00 0.20 3191  -4.30
 761  2.00 0.55 3464   1.74
 762  2.00 0.40 3355   3.62
 763  2.00 0.38 3342   3.34
 764  0.87 0.04 2751  -6.81
 765  2.00 0.16 3143   0.65
 766  2.00 0.13 3077  -0.52
 767  2.00 0.16 3138   1.94
 768  2.00 0.10 2881   3.27
 769  0.33 0.33 3304   8.33
 776  0.13 0.02 2487   8.45
 802  2.00 0.42 3368   1.10
 803  2.00 0.20 3189  -1.21
 804  2.00 0.41 3360   3.84
 805  2.00 0.13 3062   1.87
 806  2.00 0.13 3082   2.47
 807  0.46 0.10 2858   6.21
