Title: HST survey of the Orion Nebula Cluster in the H_2_O 1.4um absorption 
       band: I. A census of substellar and planetary mass objects  
Authors: Robberto M., Gennaro M., Gabellini M.G.U., Hillenbrand L.A., 
    Pacifici C., Ubeda L., Andersen M., Bartman T., Bellini A., Da Rio N., 
    de Mink S., Lodato G., Manara C.F., Platais I., Pueyo L., Soderblom D.R., 
    Strampelli G.M., Tan J., Testi L.
Table: Estimated parameters of the ONC sample
================================================================================
Byte-by-byte Description of file: apjab911et4_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  4 I4     ---     index    Sequential running number 
   6- 10 F5.2   [-]     log(BF)  Base-10 Logarithm of the Bayes Factor
  12- 15 F4.2   solMass Mstar    Mass, solar units
  17- 20 I4     K       Teff     Effective Temperature
  22- 27 F6.2   mag     Av       Extinction estimated using distance from IR isochrone
--------------------------------------------------------------------------------
3228  0.67 0.40 3355   7.63
3229  0.82 0.16 3138   4.27
3230  0.40 0.22 3215   7.34
3231  2.00 0.12 3039   4.02
3232  0.20 0.24 3236   8.61
3233  2.00 0.05 2792  -0.36
3235  0.86 0.05 2763   3.02
3236  0.11 0.09 2866   7.20
3238 -0.04 0.07 2852   6.50
3239  0.90 0.04 2687   2.10
3240  0.45 0.04 2714   4.23
3242 -0.05 0.05 2758   6.77
3245  0.19 0.04 2684   6.86
3248  0.96 0.01 2333   1.58
3250  0.47 0.02 2434   4.37
3253  0.32 0.01 2345   4.64
3259 -0.05 0.01 2136   4.03
3267  2.00 1.19 3955   4.06
3268  2.00 0.83 3691   1.68
3269  2.00 0.44 3379  -1.01
3270  2.00 0.44 3382  -0.88
3271  2.00 1.18 3940   5.63
3272  2.00 0.48 3412   1.15
3273  2.00 0.71 3602   3.28
3275  2.00 0.38 3339   1.33
3276  2.00 0.24 3231  -0.43
3277  2.00 0.25 3240   0.06
3278  2.00 0.42 3369   3.68
3279  2.00 0.20 3193   0.93
3280  2.00 0.21 3206   1.23
3281  2.00 0.25 3239   2.15
3282  2.00 0.27 3255   2.56
3283  2.00 0.25 3241   3.96
3284  0.96 0.16 3138   3.93
3285  0.50 0.41 3365   8.50
3286  0.86 0.15 3123   4.23
3287  0.96 0.14 3084   4.14
3288  0.74 0.15 3114   5.55
3289  2.00 0.04 2756  -2.75
3290  0.22 0.29 3274   8.96
3291  0.83 0.11 3033   4.73
3292  0.24 0.37 3332  10.67
3293  2.00 0.07 2837   1.76
3294  2.00 0.04 2747   0.07
3295 -0.23 0.13 3062   9.27
3297  0.98 0.03 2672   1.80
3298  0.55 0.04 2755   3.99
3300  0.48 0.03 2654   3.59
3303  0.48 0.02 2502   4.83
3304  0.93 0.01 2336   1.71
3308  0.17 0.01 2322   5.84
3313 -0.44 0.01 2327   8.81
3324  2.00 0.60 3507   1.67
3325  2.00 0.68 3578   2.96
3326  2.00 0.17 3149   0.07
3327  2.00 0.20 3194   2.02
3328  2.00 0.48 3415   6.01
3329  0.72 0.57 3482   8.14
3330  2.00 0.15 3118   2.25
3332  0.52 0.11 3031   6.12
3333  0.72 0.03 2594   4.56
3339 -0.06 0.83 3692  13.62
3345  2.00 0.78 3657   4.51
3346  2.00 0.28 3265   4.36
3347  0.99 0.17 3157   4.02
3348  2.00 0.12 3040   2.63
3349  0.90 0.14 3096   3.86
3350  0.32 0.37 3332   8.84
3351  0.19 0.48 3411   9.98
3352  2.00 0.10 2934   3.44
3353  0.68 0.11 2968   5.25
3354  2.00 0.10 2891   3.54
3355  0.33 0.11 3021   6.80
3356 -0.14 0.13 3079   9.11
3357 -0.45 0.13 3069  10.07
3366  2.00 0.96 3783  -4.59
3369  2.00 0.47 3402   2.91
3370  2.00 0.61 3513   5.73
3371  2.00 0.30 3284   2.59
3372  2.00 0.31 3291   3.97
3373  2.00 0.23 3224   1.83
3375  2.00 0.07 2834   0.77
3376 -0.27 0.50 3425  12.34
3377 -0.29 0.47 3407  12.23
3378 -0.08 0.17 3150   9.15
3379  0.03 0.05 2776   6.36
3382  2.00 0.02 2466   1.55
3383  2.00 0.02 2464   2.03
3387  2.00 0.72 3607   2.01
3388  2.00 0.39 3346   2.48
3389  2.00 0.07 2847   0.88
3391  2.00 0.04 2690  -1.56
3395  0.69 0.01 2212   1.27
3399  0.52 0.00 1891  -3.22
3400  0.52 0.00 1603  -8.07
3404 -0.11 0.00 1688  -2.75
3407  2.00 0.09 2867   0.65
3408  2.00 0.09 2865   2.14
3409 -0.44 0.21 3206  10.60
3416  2.00 0.92 3761   6.71
3417  2.00 0.59 3499   5.62
3418  2.00 0.13 3071  -0.53
3419  2.00 0.08 2868   0.42
3420  0.23 0.32 3295   9.20
3421 -0.16 0.19 3176   9.60
3422  0.84 0.04 2683   2.20
3424  0.72 0.01 2383   3.29
3440  2.00 0.50 3426   3.12
3441  0.66 0.46 3398   7.68
3442  0.78 0.20 3188   5.01
3443 -0.18 0.10 2892   8.64
3445  0.01 0.03 2550   6.88
3453  2.00 0.38 3338   5.19
3454 -0.09 0.59 3499  12.08
3455  0.73 0.11 3032   5.22
3461  0.50 0.01 2207   2.65
3466  2.00 0.00 1850   1.94
3471  0.41 0.03 2610   5.52
3510  0.92 0.22 3212   3.96
3511  2.00 0.08 2868   0.61
3523  0.70 0.14 3086   5.66
3524  0.60 0.17 3148   6.51
3525  2.00 0.09 2866   3.45
3526 -0.16 0.17 3155   9.48
3543  0.97 0.14 3103   3.50
3544  2.00 0.07 2836   1.36
3585  2.00 0.26 3248   1.66
3586  0.49 0.35 3320   8.01
3599  0.47 0.00 1051 -11.64
3607  2.00 0.93 3768   8.10
3608  2.00 0.47 3406   3.40
3609  2.00 0.55 3471   7.84
3616 -0.35 0.06 2836  21.90
3626  2.00 0.11 3026   0.99
3627  2.00 0.12 3036   3.84
3643  2.00 0.70 3594   2.03
3644  2.00 0.23 3223   1.63
3645 -0.12 0.59 3498  14.50
3646  0.15 0.17 3159   8.18
3647 -0.17 0.14 3101   9.19
3677  0.41 0.20 3198   7.56
3678  0.14 0.16 3138   8.20
3679  2.00 0.05 2764   0.55
3680  0.05 0.14 3101   8.18
3701  2.00 0.06 2823  -5.78
3709 -0.47 0.02 2416  13.49
3719  2.00 0.82 3681   0.88
3720  2.00 0.43 3377   1.34
3721  2.00 0.47 3403   1.76
3722  2.00 0.12 3035  -2.29
3723  2.00 0.37 3337   4.41
3724  2.00 0.44 3384   5.34
3725  2.00 0.18 3165   1.63
3726  2.00 0.21 3201   1.77
3727  2.00 0.14 3084   2.76
3728  2.00 0.11 3030   1.49
3729  0.35 0.27 3254   8.02
3730  0.94 0.04 2750   1.83
3747  2.00 0.66 3558  -1.79
3748  2.00 0.20 3187  -0.85
3749  2.00 0.25 3243   0.50
3750  2.00 0.20 3187   3.27
3751  2.00 0.10 2937  -0.77
3752  0.41 0.25 3238   7.58
3786  2.00 0.11 3024  -1.98
3787  2.00 0.02 2483  -1.96
3796  2.00 0.18 3170  -0.52
3797  2.00 0.13 3082   2.70
3811  2.00 1.13 3890   3.72
3812  2.00 0.46 3392   0.39
3813  2.00 0.21 3207   0.51
3818  0.12 0.00 1618  -4.82
3824  2.00 0.61 3519   1.30
3825  2.00 0.45 3389   2.60
3827  2.00 0.23 3218   1.50
3828  0.26 0.38 3339   9.05
3829  0.20 0.09 2868   6.59
3830  2.00 0.22 3215   3.29
3833  2.00 0.01 2234   0.16
3835  2.00 0.36 3327  -0.36
3836  2.00 0.33 3306   1.90
3838  0.33 0.29 3276   8.06
3839  0.87 0.12 3045   4.81
3840 -0.02 0.28 3262   9.84
3842  0.09 0.00 1256  -8.03
3843  0.42 0.00 1211 -11.79
3847  2.00 0.31 3288   2.25
3848  2.00 0.11 3032  -0.61
3849  0.64 0.12 3045   5.22
3850  0.99 0.14 3101   3.32
3852  0.95 0.08 2868   2.79
3862 -0.26 0.01 2265   8.73
3874  2.00 0.49 3422   1.49
3875  2.00 0.56 3480   5.22
3882  2.00 0.01 2346   1.78
3886  2.00 0.52 3447   2.07
3887  0.92 0.19 3181   4.58
3899 -0.29 0.01 2258   8.51
3906  2.00 0.16 3145  -0.12
3907  2.00 0.16 3132   2.62
3908  0.87 0.23 3220   4.86
3909  2.00 0.08 2864  -0.29
3911  0.88 0.05 2777   3.23
3926  2.00 0.31 3287 -17.49
3943  2.00 0.61 3520   5.30
3944  2.00 0.19 3185   1.00
3945  2.00 0.07 2835   1.45
3956 -0.41 0.00 1516  -3.67
3960  2.00 0.56 3473  -0.45
3961  2.00 0.12 3039   2.35
3962  0.09 0.47 3404  10.85
3963  2.00 0.05 2767  -1.23
3964  0.95 0.10 2859   3.44
3980  2.00 0.00 1840   1.21
3991  2.00 0.56 3479   0.89
3992  2.00 0.16 3129   2.90
3993  0.69 0.02 2474   3.84
3997 -0.14 0.00 1893   0.07
4001  2.00 0.13 3074   0.86
4006  0.79 0.05 2767  24.94
4007  2.00 0.56 3476  -2.67
4008  2.00 0.59 3499   1.68
4009  2.00 0.59 3501   0.40
4010  2.00 0.19 3178   0.01
4011  2.00 0.19 3181   1.78
4012  2.00 0.17 3151   2.04
4013  2.00 0.08 2869   1.97
4014  0.88 0.14 3096   5.57
4017  0.55 0.02 2426   3.23
4019  0.85 0.01 2177  -0.01
4024  2.00 0.17 3161   3.93
4027  0.40 0.01 2122   1.43
4029  2.00 0.62 3528   0.81
4030  2.00 0.12 3045   1.06
4031  2.00 0.07 2838   2.14
4033  2.00 0.02 2421   1.01
4059  2.00 0.81 3676   2.11
4060  2.00 0.32 3295   1.61
4061  2.00 0.16 3142   1.63
4062  2.00 0.09 2868   0.44
4084  0.29 0.19 3185   7.95
4092  0.89 0.07 2844   2.90
4127  2.00 0.51 3439   0.82
4128  2.00 0.25 3238   0.33
4129  2.00 0.24 3232   1.14
4130  2.00 0.07 2856  -6.27
4131  2.00 0.14 3108   1.99
4132  2.00 0.10 2916   0.39
4133  0.69 0.33 3304   7.01
4134  0.11 0.41 3366  10.18
4135  2.00 0.04 2756  -0.15
4136  2.00 0.05 2768   1.76
4138  2.00 0.04 2738   1.39
4139  2.00 0.03 2648   0.26
4145  0.61 0.00 1768  -5.22
4162  0.98 0.18 3168   4.02
4163  0.96 0.13 3071   3.75
4164  0.16 0.34 3307   9.72
4185  2.00 0.43 3376   4.93
4186  2.00 0.28 3262   1.89
4187 -0.08 0.24 3229   9.69
4188 -0.33 0.14 3093   9.75
4199  0.54 0.00 1887  -2.30
4232  2.00 0.17 3161   2.27
4233  2.00 0.13 3060   2.88
4234 -0.26 0.17 3146   9.78
4249  2.00 0.17 3163   1.95
4250  2.00 0.15 3127   2.01
4251  2.00 0.02 2442   1.40
4262  2.00 0.58 3492  -3.77
4264  2.00 0.13 3076  -2.06
4265  2.00 0.14 3107  -0.69
4275  2.00 1.08 3857   1.31
4276  2.00 0.55 3469   5.12
4277  0.62 0.44 3384   7.85
4278  0.76 0.36 3329   6.49
4279  2.00 0.10 2881   1.84
4280  2.00 0.07 2841   2.00
4281  0.04 0.91 3755  13.40
4282  0.83 0.10 2894   4.54
4285 -0.28 0.12 3041   9.47
4286  2.00 0.02 2474  -1.30
4287  0.96 0.02 2457   2.59
4297  2.00 0.68 3578   2.96
4298  2.00 0.19 3185   0.63
4299  0.83 0.43 3375   6.58
4300  2.00 0.12 3059   2.32
4301 -0.24 0.26 3251  10.51
4306  2.00 0.20 3196   2.34
4307  0.99 0.20 3192   3.26
4308  2.00 0.12 3047   0.50
4309  0.89 0.14 3093   5.28
4310 -0.06 0.55 3468  11.84
4311 -0.16 0.13 3075   9.44
4312  0.20 0.05 2760   5.72
4314  0.53 0.01 2041   0.01
4318 -0.27 0.00 1103 -10.06
4322  2.00 0.93 3767   1.18
4323  2.00 0.48 3412   2.33
4324  2.00 0.10 2856   0.95
4325  0.96 0.14 3089   4.04
4326  2.00 0.07 2847   0.53
4333 -0.10 0.00 1847  -0.74
4336  2.00 0.47 3400   4.01
4337  0.85 0.01 2303   1.74
4338  2.00 0.30 3280   1.28
4339  2.00 0.01 2341   4.98
4343  2.00 0.44 3381   2.37
4344  2.00 0.22 3211   1.60
4345  2.00 0.18 3167   2.75
4346  0.89 0.23 3225   4.37
4347  2.00 0.17 3146   3.90
4348  0.30 0.34 3310   8.65
4349  2.00 0.10 2918   3.19
4350  0.64 0.11 2946   5.49
4351  0.93 0.07 2846   2.79
4385 -0.21 0.17 3153   9.67
4416  2.00 0.19 3183   3.36
4417  0.85 0.04 2751   3.31
4430  2.00 0.96 3784  -6.58
4431  2.00 0.28 3266  -1.10
4432  2.00 0.23 3220   1.89
4433  2.00 0.17 3157   2.50
4434  2.00 0.07 2840   1.62
4452  0.55 0.01 2388  13.18
4463  2.00 0.37 3331   1.45
4464  0.36 0.17 3151   7.16
4465  0.83 0.08 2850   3.41
4484  2.00 0.39 3350   3.91
4495  2.00 0.03 2590  13.63
