index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K,Periodic?,Period,Amp,Method,Best Band
207,4.49898E+13,ic_207A_M3.8_Q1J,A,56.14083407,31.97507436,13.44750023,12.40667725,11.76010323,3.75,20.10456928,0.347001648,0.281608582,0.184495354,1.35,1.26E-01,2.16E-04,1.35,9.90E-02,4.59E-04,3.83,7.13E-02,1.45E-06,1.35,1.31E-01,4.26E-03,1.35,1.04E-01,6.78E-03,3.82,7.29E-02,1.76E-05,1.35,1.31E-01,3.72E-03,1.35,1.01E-01,1.05E-02,3.82,7.13E-02,2.62E-05,,,,,
208,4.49898E+13,ic_208A_M0.0_Q1JH,A,56.14161081,32.14837355,11.80511856,11.02546215,10.71724701,0,6.885137421,0.102053261,0.099648476,0.071523476,15.90,4.93E-02,5.71E-28,15.97,4.52E-02,8.72E-16,15.87,3.61E-02,3.31E-17,16.05,4.57E-02,2.04E-18,16.23,4.40E-02,3.57E-13,15.92,3.52E-02,1.12E-19,16.03,4.49E-02,3.29E-19,16.23,4.41E-02,3.50E-13,15.92,3.51E-02,9.48E-20,,,,,
209,4.49898E+13,ic_209C_M7.2_Q2,C,56.14186157,32.11584693,14.00911903,13.33192921,12.72026062,7.25,0.318189609,0.024967194,0.022015572,0.023623848,0.05,8.80E-03,1.18E-03,0.25,8.17E-03,2.65E-03,0.04,7.72E-03,2.40E-02,0.05,5.98E-03,1.05E-01,0.04,5.12E-03,1.47E-01,0.25,6.71E-03,5.04E-02,0.06,5.49E-03,2.47E-01,0.13,5.07E-03,1.68E-01,0.06,6.30E-03,9.68E-02,,,,,
210,4.49898E+13,ic_210C_M4.2_Q2,C,56.14222357,32.27661245,14.09792709,13.22593307,12.54747105,4.25,14.30599244,0.300439453,0.250523567,0.208626747,0.67,1.22E-01,5.24E-06,0.67,8.35E-02,1.35E-03,0.22,7.02E-02,4.16E-03,0.67,1.20E-01,3.36E-04,0.67,8.34E-02,6.06E-03,0.09,6.91E-02,1.24E-02,0.67,1.19E-01,5.12E-04,0.67,8.10E-02,7.89E-03,0.08,6.57E-02,1.20E-02,,,,,
211,4.49898E+13,ic_211A_M2.0_Q1JH,A,56.14279531,32.18047767,12.0895071,11.2071104,10.79126072,2,1.35708018,0.03629694,0.037482071,0.029662132,0.09,1.17E-02,1.61E-03,0.04,1.36E-02,4.87E-03,0.08,1.12E-02,2.50E-03,0.08,1.25E-02,1.17E-03,0.04,1.39E-02,1.13E-02,2.30,9.37E-03,2.80E-02,0.08,1.20E-02,1.51E-03,0.21,1.18E-02,9.39E-02,2.30,9.28E-03,2.76E-02,,,,,
212,4.49898E+13,ic_212A_M3.5_Q0,A,56.1428462,32.2113048,15.5140276,13.5625124,12.16212749,3.5,12.05918179,0.205636215,0.232430935,0.274065971,0.50,1.29E-01,4.88E-03,0.99,8.54E-02,1.07E-04,0.50,1.13E-01,2.45E-11,0.08,5.12E-02,3.26E-02,0.07,5.81E-02,4.39E-03,0.11,5.33E-02,1.65E-02,0.08,5.50E-02,4.15E-03,0.10,5.55E-02,4.22E-04,0.11,5.18E-02,7.61E-03,,,,,
213,4.49898E+13,ic_213C_M3.5_Q2,C,56.14329791,32.3324772,13.78117752,13.12622452,12.79387665,3.5,0.926962334,0.043045807,0.02747345,0.025265884,100.00,1.65E-02,1.60E-06,0.20,8.07E-03,1.92E-02,0.50,9.45E-03,1.69E-05,56.18,1.22E-02,1.83E-05,0.04,7.22E-03,6.86E-02,0.06,5.62E-03,7.97E-02,55.87,1.23E-02,1.26E-05,0.04,7.05E-03,3.20E-02,0.57,6.04E-03,6.13E-02,,,,,
214,4.49898E+13,ic_214C_M5.5_Q2,C,56.14354314,32.10696211,13.32583714,12.59564018,12.09203911,5.5,1.528711446,0.046266556,0.039232063,0.026209831,30.30,1.47E-02,3.19E-03,0.41,1.08E-02,1.90E-02,0.06,8.43E-03,1.54E-02,0.11,1.39E-02,7.88E-02,0.08,1.25E-02,7.50E-04,0.49,8.80E-03,5.68E-02,29.41,1.31E-02,1.34E-01,0.08,1.24E-02,7.03E-04,0.23,7.72E-03,4.28E-02,,,,,
215,4.49898E+13,ic_215A_L1.0_Q1K,A,56.14392213,32.03714909,19.32104874,18.30761909,17.38962364,11,0.171120031,0.447378922,0.280561066,0.229565811,0.07,1.48E-01,4.96E-03,0.33,7.56E-02,8.18E-02,0.35,6.81E-02,1.80E-02,0.08,1.71E-01,3.75E-03,0.07,7.42E-02,7.16E-02,0.35,6.83E-02,4.99E-02,0.08,1.66E-01,7.30E-03,0.07,7.41E-02,3.63E-02,0.35,6.79E-02,5.53E-02,,,,,
216,4.49898E+13,ic_216A_M3.2_Q0,A,56.14454736,32.26669912,14.49891949,12.77101326,11.53055573,3.25,39.952157,0.833801842,0.48190403,0.315075302,0.99,2.60E-01,3.58E-04,97.09,1.81E-01,8.38E-04,95.24,1.09E-01,8.88E-03,0.10,1.47E-01,2.16E-01,0.12,1.03E-01,3.21E-01,0.06,7.40E-02,1.38E-01,0.10,1.46E-01,2.28E-01,0.04,1.16E-01,2.02E-01,0.06,7.63E-02,6.39E-02,,,,,
