index,SOURCEID,shortname,A/S/C,RA_deg,DE_deg,J_mag,H_mag,K_mag,SpT,Stetson_JHK,range_J,range_H,range_K,vanilla_period_J,vanilla_per_amp_J,vanilla_per_fap_J,vanilla_period_H,vanilla_per_amp_H,vanilla_per_fap_H,vanilla_period_K,vanilla_per_amp_K,vanilla_per_fap_K,poly2_period_J,poly2_per_amp_J,poly2_per_fap_J,poly2_period_H,poly2_per_amp_H,poly2_per_fap_H,poly2_period_K,poly2_per_amp_K,poly2_per_fap_K,poly4_period_J,poly4_per_amp_J,poly4_per_fap_J,poly4_period_H,poly4_per_amp_H,poly4_per_fap_H,poly4_period_K,poly4_per_amp_K,poly4_per_fap_K
21,44508746126974,ngc_021C_M5.0_Q2,C,52.20342775427072,31.289599429056494,17.673770904541016,15.203086853027344,13.662038803100586,5.0,1.1388721534428203,0.1641643524169929,0.06741676330566548,0.04441671371460032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,44508746116074,ngc_022C_M2.5_Q2,C,52.21233025042285,31.39667746281461,14.464534759521484,12.3414306640625,11.165423393249512,2.5,0.5586397662852545,0.02992877960204865,0.03361835479736541,0.020377349853514914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,44508746116084,ngc_023A_M5.0_Q0,A,52.21255187904311,31.3051607000003,11.007939338684082,10.047700881958008,9.277752876281738,5.0,15.162146674262154,0.42123394012451065,0.2991922378540046,0.24369735717773366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,44508746116073,ngc_024A_M9.5_Q0,A,52.212659902264,31.32452139204522,19.433740615844727,18.53498077392578,17.803302764892578,9.5,0.014184701755252223,0.3584506988525398,0.3249437332153349,0.31024932861328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,44508746107194,ngc_025C_M5.0_Q2,C,52.21273734705693,31.275691231152788,13.21975326538086,12.522594451904297,12.111556053161621,5.0,1.8449966221639553,0.04627256393432688,0.042524337768556464,0.04182910919189453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,44508746107325,ngc_026C_M7.5_Q2,C,52.21722066735175,31.263107372145793,13.013572692871094,12.468603134155273,11.960728645324707,7.5,5.079588728952626,0.08313789367675817,0.07689905166625977,0.048590278625487926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,44508746116125,ngc_027A_M3.0_Q1JH,A,52.21732477321471,31.379279175633226,12.057303428649902,11.21932601928711,10.754219055175781,3.0,15.994389372051886,0.251527023315429,0.21220712661743235,0.17826557159423828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,44508746107213,ngc_028C_M5.0_Q2,C,52.22043832868216,31.2740315083973,13.544722557067871,12.921001434326172,12.506928443908691,5.0,1.9894509511451197,0.04894447326660156,0.03998289108276332,0.05057258605957138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,44508746107153,ngc_029A_M5.2_Q0,A,52.22530383234117,31.281757693868958,12.973106384277344,12.14418888092041,11.625568389892578,5.25,2.345929268078926,0.0627972602844249,0.041890716552735796,0.03531970977783416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,44508746107152,ngc_030A_M1.0_Q0,A,52.22756038487193,31.2808940362746,12.605414390563965,11.11081600189209,10.205217361450195,1.0,5.918836619755993,0.10386428833007955,0.1052221298217777,0.10367393493652166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
